Timestamp,What are your favorite letters of the English alphabet (Choose 5)?,Which Pattern is most appealing?,Which Colors are most appealing (Choose 2)?
2/18/2021 18:52:24,"A, E, I, O, U",Diagonal Stripes,"Blue,"
2/18/2021 18:53:22,"D, F, M, S, T",Diagonal Stripes,"Blue, Yellow"
2/18/2021 18:55:36,"A, B, F, L, X",Checkered,"Blue, Orange"
2/18/2021 18:56:43,"E, G, L, R, Y",Chevron,"Blue, Purple"
2/18/2021 18:58:59,"B, E, L, O, V",Polka Dots,"Purple, Orange"
2/18/2021 18:59:07,"B, L, M, S, T",Diagonal Stripes,"Blue, Purple"
2/18/2021 18:59:22,"D, Q, X, Y, Z",Chevron, "Purple,"
2/18/2021 18:59:23,"A, E, M, R, T",Polka Dots,"Red, Purple"
2/18/2021 19:00:24,"L, O, X, Y, Z",Polka Dots,"Red, Green"
2/18/2021 19:00:25,"D, E, N, S, Y",Checkered,"Yellow, Orange"
2/18/2021 19:01:14,"A, D, I, Q, Z",Checkered,"Green, Orange"
2/18/2021 19:05:41,"J, O, S, W, Z",Checkered,"Green, Orange"
2/18/2021 19:06:43,"B, E, G, J, S",Diagonal Stripes,"Red, Blue"
2/18/2021 19:08:44,"A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z",Checkered,"Purple, Orange"
2/18/2021 19:09:24,"A, C, H, M, O",Diagonal Stripes,"Green, Orange"
2/18/2021 19:09:53,"F, G, L, N, T",Checkered,"Green, Purple"
2/18/2021 19:14:36,"B, E, L, O, V",Polka Dots,"Purple, Orange"
2/18/2021 19:16:08,"A, L, Q, V, X",Polka Dots,"Red, Blue"
2/18/2021 19:21:54,"D, I, K, O, W",Chevron,"Blue, Yellow"
2/18/2021 19:22:35,"A, J, Q, W, X",Chevron,"Purple, Orange"
2/18/2021 19:33:37,"E, H, M, X, Z",Polka Dots,"Green, Blue"
2/18/2021 19:34:50,"E, I, V, X, Y",Polka Dots,"Green, Yellow"
2/18/2021 19:37:13,"E, M, Q, R, Z",Checkered,"Purple, Orange"
2/18/2021 19:38:24,"H, K, Q, S, W",Diagonal Stripes,"Blue, Yellow"
2/18/2021 20:00:33,"R, S, V, X, Z",Polka Dots,"Red, Blue"
2/18/2021 20:03:02,"A, B, C, D, E",Polka Dots,"Blue, Yellow"
2/18/2021 20:16:21,"C, E, T, Z",Checkered,"Yellow, Purple"
2/18/2021 20:23:43,"A, G, S, X, Z",Polka Dots,"Green, Blue"
2/18/2021 20:24:26,"A, B, C, E, I",Chevron,"Red, Blue"
2/18/2021 20:28:02,"F, J, K, R, T",Checkered,"Red, Orange"
2/18/2021 21:08:17,"A, G, L, N, O",Polka Dots,"Yellow, Purple"
2/18/2021 21:13:12,"J, M, O, Y, Z",Polka Dots,"Green, Yellow"
2/18/2021 21:30:34,"B, M, P, S, Y",Checkered,"Red, Green"
2/18/2021 21:46:17,"A, M, R, T, U",Chevron,"Blue, Yellow"
2/18/2021 22:26:34,"A, E, L, W, Y",Diagonal Stripes,"Green, Purple"
2/18/2021 22:51:03,"G, W, X, Y, Z",Chevron,"Green, Orange"
2/18/2021 23:51:33,"A, C, E, G, R",Diagonal Stripes,"Green, Blue"
2/19/2021 0:40:36,"A, C, E, M, Y",Checkered,"Green, Purple"
2/19/2021 1:42:43,"E, K, S, Z",Checkered,"Red, Blue"
2/19/2021 2:01:27,"C, F, L, Q, X",Chevron,"Blue, Purple"
2/19/2021 3:12:00,"A, B, M, O, Q",Polka Dots,"Green, Yellow"
2/19/2021 10:15:05,"E, G, R, W, Z",Checkered,"Green, Purple"
2/19/2021 10:37:22,"A, L, O, X, Z",Checkered,"Red, Blue"
2/19/2021 12:22:33,"A, I, M, O, S",Polka Dots,"Blue, Purple"
2/19/2021 14:39:23,"C, R, S, T, V",Checkered,"Blue, Purple"
2/19/2021 16:33:19,"E, M, O, Y",Polka Dots,"Green, Orange"
2/19/2021 18:06:43,"A, C, D, E, I, N, P, R",Diagonal Stripes,"Red, Green, Blue, Yellow, Purple"
2/21/2021 22:34:15,"A, K, M, S, Z",Polka Dots,"Blue, Purple"
2/22/2021 7:49:56,"H, I, J, K, L",Diagonal Stripes,"Blue, Purple"
2/22/2021 8:19:01,"A, B, C, D, F, G, O, P, Q, R, W, X, Y, Z",Diagonal Stripes,"Blue, Purple"